year,CZ,AT,DK,NL,PL,SK
2002,"-0,42823040674603174","0,0","0,0","1,0",,"0,0"
2003,"-0,6205686943308386","0,0","0,0","1,0","0,0","0,0"
2004,"-1,3693028226566921","0,0","0,0","0,8118528983826414","0,0","-11,0"
2005,"-41,24443606186345","0,4463196439739325","0,0","0,8000662286900321","-1,2145908336286817","-1,8182337810803089"
2006,"-4,298821967811516","0,7034321747288953","0,1618306403857542","0,7038761328749747","-0,7114255452610363","0,07304125789544415"
2007,"-1,6958098978267384","0,43823247707773866","0,21344887864023496","0,8687369908775537","-0,026926788654038986","0,06504118292423328"
2008,"0,07959787218212928","0,46485783319959684","0,15967840694300253","0,9464390531420263","0,3550577376623554","-0,8061609840310748"
2009,"-0,009970325190729924","0,4417631052225277","0,2513643996641481","0,33739534132271465","0,3433891729299689","-0,7511893378663929"
2010,"-0,011126438372158362","0,4193178229673856","0,44669657554142606","-0,6709858313048335","0,49226699859965756","-0,5979710708692046"
2011,"0,27667855119789414","0,525886263956271","1,1063612679114199","-0,2172543343700921","0,5423165804845194","-0,7084242107742248"
2012,"0,23378670967929427","0,5508695495556982","0,9553169882489483","-1,9424295827234983","0,18406046959800051","-0,6981283540072138"
2013,"0,15243771631246245","0,5407220885996205","0,93783479371386","-3,3367467013845418","0,042693422388301226","-0,47566650851495546"
2014,"0,19886831340366834","0,38514150679075687","0,9021131427967326","-3,245990845363466","-0,05375649045515048","-0,11065625817054488"
2015,"0,2520693979226592","0,34496923824409204","0,9424768345138992","-3,5237862323355684","-0,21945592544129525","-0,030498228059203738"
2016,"0,32270941473798864","0,2975071738212059","0,923500129839835","-3,9786816269284726","-0,9899610200126305","-0,12512866567648792"
2017,"0,35305232233951367","0,2896864192702932","1,0334601215142833","-3,855864951942928","-0,508039210515907","-0,06770861210726332"
2018,"0,2970088238723972","0,3061537445172035","0,9686182311848742","-1,479918589319945","0,028527649968665962","-0,132631143604248"
